Node,Shen268 - Network names
1,Motor
2,Insular
3,Motor
4,Insular
5,Insular
6,Motor
7,Motor
8,Motor
9,Prefrontal Cortex
10,Prefrontal Cortex
11,Insular
12,Motor
13,Prefrontal Cortex
14,Motor
15,Motor
16,Motor
17,Motor
18,Parietal
19,Parietal
20,Parietal
21,Parietal
22,Parietal
23,Motor
24,Motor
25,Parietal
26,Parietal
27,Parietal
28,Parietal
29,Parietal
30,Parietal
31,Parietal
32,Limbic
33,Temporal
34,Limbic
35,Parietal
36,Parietal
37,Motor
38,Motor
39,Insular
40,Insular
41,Parietal
42,Prefrontal Cortex
43,Prefrontal Cortex
44,Prefrontal Cortex
45,Motor
46,Prefrontal Cortex
47,Prefrontal Cortex
48,Parietal
49,Limbic
50,Parietal
51,Parietal
52,Parietal
53,Parietal
54,Prefrontal Cortex
55,Prefrontal Cortex
56,Limbic
57,Limbic
58,Temporal
59,Limbic
60,Motor
61,Limbic
62,Temporal
63,Limbic
64,Limbic
65,Temporal
66,Occipital
67,Temporal
68,Occipital
69,Temporal
70,Temporal
71,Occipital
72,Temporal
73,Parietal
74,Insular
75,Insular
76,Temporal
77,Parietal
78,Insular
79,Parietal
80,Subcortical
81,Subcortical
82,Subcortical
83,Insular
84,Parietal
85,Temporal
86,Subcortical
87,Occipital
88,Occipital
89,Parietal
90,Motor
91,Motor
92,Insular
93,Motor
94,Subcortical
95,Subcortical
96,Subcortical
97,Subcortical
98,Subcortical
99,Subcortical
100,Subcortical
101,Subcortical
102,Subcortical
103,Insular
104,Prefrontal Cortex
105,Insular
106,Motor
107,Prefrontal Cortex
108,Insular
109,Motor
110,Motor
111,Prefrontal Cortex
112,Motor
113,Prefrontal Cortex
114,Prefrontal Cortex
115,Prefrontal Cortex
116,Prefrontal Cortex
117,Prefrontal Cortex
118,Motor
119,Prefrontal Cortex
120,Motor
121,Parietal
122,Parietal
123,Parietal
124,Parietal
125,Prefrontal Cortex
126,Parietal
127,Motor
128,Prefrontal Cortex
129,Parietal
130,Parietal
131,Parietal
132,Parietal
133,Parietal
134,Parietal
135,Parietal
136,Parietal
137,Limbic
138,Temporal
139,Limbic
140,Parietal
141,Parietal
142,Parietal
143,Motor
144,Prefrontal Cortex
145,Motor
146,Prefrontal Cortex
147,Prefrontal Cortex
148,Prefrontal Cortex
149,Parietal
150,Parietal
151,Prefrontal Cortex
152,Parietal
153,Prefrontal Cortex
154,Motor
155,Prefrontal Cortex
156,Parietal
157,Motor
158,Parietal
159,Temporal
160,Motor
161,Limbic
162,Limbic
163,Parietal
164,Insular
165,Limbic
166,Temporal
167,Limbic
168,Temporal
169,Temporal
170,Limbic
171,Limbic
172,Temporal
173,Occipital
174,Occipital
175,Occipital
176,Temporal
177,Temporal
178,Subcortical
179,Parietal
180,Prefrontal Cortex
181,Insular
182,Insular
183,Insular
184,Insular
185,Parietal
186,Subcortical
187,Subcortical
188,Subcortical
189,Subcortical
190,Subcortical
191,Subcortical
192,Parietal
193,Insular
194,Limbic
195,Occipital
196,Motor
197,Motor
198,Motor
199,Subcortical
200,Subcortical
201,Subcortical
202,Subcortical
203,Subcortical
204,Subcortical
205,Subcortical
206,Subcortical
207,Subcortical
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA